Time,US PPI YoY,US PPI YoY F,US PPI YoY P,US PPI MoM,US PPI MoM F,US PPI MoM P,US PPI Core YoY,US PPI Core F YoY,US PPI Core P YoY,US PPI Core MoM,US PPI Core MoM F,US PPI Core MoM P,UK PPI YoY,UK PPI YoY F,UK PPI P,Column 1,2,3,EU PPI YoY,EU PPI YoY F,EU PPI YoY P,EU PPI MoM,EU PPI MoM F,EU PPI MoM P,GER PPI YoY,GER PPI YoY F,GER PPI YoY P,GER PPI MoM,GER PPI MoM F,GER PPI MoM P,FRANCE PPI YoY,FRANCE PPI YoY F,FRANCE PPI YoY P,FRANCE PPI MoM,FRANCE PPI MoM F,FRANCE PPI MoM P,ITALY PPI YoY,ITALY PPI YoY F,ITALY PPI YoY P,ITALY PPI MoM,ITALY PPI MoM F,ITALY PPI MoM P,AU PPI YoY,AU PPI YoY F,AU PPI YoY P,CANADA PPI YoY,CANADA PPI YoY F,CANADA PPI YoY P,CANADA PPI MoM,CANADA PPI MoM F,CANADA PPI MoM P,MEXICO PPI YoY,MEXICO PPI YoY F,MEXICO PPI YoY P,BRAZIL PPI MoM,BRAZIL PPI MoM F,BRAZIL PPI MoM P,China PPI YoY,China PPI YoY F,China PPI YoY P,JAPAN PPI YoY,JAPAN PPI YoY F,JAPAN PPI YoY P,JAPAN PPI MoM,JAPAN PPI MoM F,JAPAN PPI MoM P,KOREA PPI YoY,KOREA PPI YoY F,KOREA PPI YoY P,KOREA PPI MoM,KOREA PPI MoM F,KOREA PPI MoM P
12/2020,0.8%,0.8%,0.8%,0.3%,0.4%,0.30%,1.20%,1.30%,1.20%,0.10%,0.20%,0.10%,0.8%,0.80%,0.80%,0.80%,0.70%,0.40%,-1.10%,-1.20%,0.40%,0.80%,0.70%,0.90%,0.2%,-0.30%,0.20%,0.8%,0.30%,0.80%,,,,0.8%,,1.10%,-1.8%,,-1.80%,0.5%,,0.50%,-0.10%,,-0.10%,1.80%,,1.80%,1.50%,,1.5%,,,,0.40%,,0.40%,-0.40%,-0.80%,-0.40%,-2.00%,-2.20%,-2.00%,0.50%,0.20%,0.50%,0.1%,,-0.30%,0.7%,,0.10%
1/2021,1.7%,0.9%,1.7%,1.3%,0.4%,1.30%,2.00%,1.10%,2.00%,1.20%,0.20%,1.20%,1.7%,0.90%,1.70%,1.40%,1.20%,0.90%,0.00%,-0.40%,1.50%,1.40%,1.20%,1.70%,0.9%,0.30%,0.90%,1.4%,0.80%,1.40%,,,,1.2%,,1.20%,-0.3%,,-0.30%,1.4%,,1.40%,0.20%,,0.20%,4.00%,,4.00%,2.00%,,2.0%,,,,3.40%,,3.40%,0.30%,0.40%,0.30%,-1.60%,-1.60%,-1.50%,0.40%,0.40%,0.50%,0.8%,,0.90%,0.9%,,1.10%
2/2021,2.8%,2.7%,2.8%,0.5%,0.5%,0.50%,2.50%,2.60%,2.50%,0.20%,0.20%,0.20%,2.8%,2.70%,2.80%,0.50%,0.60%,1.70%,1.50%,1.40%,4.30%,0.50%,0.60%,0.50%,1.9%,2.00%,1.90%,0.7%,0.70%,0.70%,,,,0.8%,,0.90%,0.7%,,0.70%,0.5%,,0.50%,0.20%,,0.20%,7.10%,,7.10%,2.60%,,2.6%,,,,5.20%,,5.20%,1.70%,1.50%,1.70%,-0.70%,-0.70%,-0.60%,0.40%,0.50%,0.60%,2.0%,,2.10%,0.8%,,0.80%
3/2021,4.2%,3.8%,4.2%,1.0%,0.5%,1.00%,3.10%,2.70%,3.10%,0.70%,0.20%,0.70%,4.2%,3.80%,4.20%,1.10%,1.10%,0.50%,4.30%,4.20%,7.60%,1.10%,1.10%,1.10%,3.7%,3.30%,3.70%,0.9%,0.60%,0.90%,,,,1.0%,,1.00%,2.7%,,2.70%,0.9%,,0.90%,0.20%,,0.20%,10.00%,,10.00%,1.60%,,1.6%,,,,4.80%,,4.80%,4.40%,3.50%,4.40%,1.00%,0.50%,1.20%,0.80%,0.40%,1.00%,3.9%,,4.10%,0.9%,,1.10%
4/2021,6.2%,5.9%,6.2%,0.6%,0.3%,0.60%,4.10%,3.70%,4.10%,0.70%,0.40%,0.70%,6.2%,5.90%,6.20%,1.00%,0.90%,1.10%,7.60%,7.30%,9.60%,1.00%,0.90%,0.90%,5.2%,5.10%,5.20%,0.8%,0.80%,0.80%,,,,-0.3%,,-0.80%,6.5%,,6.80%,1.1%,,1.30%,2.20%,,2.20%,14.30%,,14.30%,1.60%,,1.6%,,,,1.90%,,1.90%,6.80%,6.50%,6.80%,3.60%,3.10%,3.80%,0.70%,0.50%,0.90%,5.6%,,6.00%,0.6%,,1.00%
5/2021,6.6%,6.3%,6.6%,0.8%,0.6%,0.80%,4.80%,4.80%,4.80%,0.70%,0.50%,0.70%,6.6%,6.30%,6.60%,1.30%,1.20%,0.90%,9.60%,9.50%,10.20%,1.30%,1.20%,1.30%,7.2%,6.40%,7.20%,1.5%,0.70%,1.50%,,,,0.5%,,0.40%,8.0%,,8.10%,1.0%,,1.10%,2.20%,,2.20%,16.40%,,16.40%,2.70%,,2.7%,,,,1.00%,,1.00%,9.00%,8.50%,9.00%,4.90%,4.50%,5.10%,0.70%,0.50%,0.80%,6.4%,,6.60%,0.4%,,0.50%
6/2021,7.3%,6.8%,7.3%,1.0%,0.6%,1.00%,5.60%,5.10%,5.60%,1.00%,0.50%,1.00%,7.3%,6.80%,7.30%,1.40%,1.40%,1.30%,10.20%,10.30%,12.40%,1.40%,1.40%,1.40%,8.5%,8.40%,8.50%,1.3%,1.10%,1.30%,,,,1.1%,,1.10%,9.1%,,9.10%,1.4%,,1.40%,2.20%,,2.20%,16.80%,,17.20%,0.00%,,,,,,1.30%,,1.30%,8.80%,8.80%,8.80%,5.00%,4.70%,5.00%,0.60%,0.60%,0.60%,6.4%,,6.60%,0.4%,,0.50%
7/2021,7.8%,7.3%,7.8%,1.0%,0.6%,1.00%,6.20%,5.60%,6.20%,1.00%,0.50%,1.00%,7.8%,7.30%,7.80%,2.30%,1.10%,1.40%,12.10%,11.00%,13.40%,2.30%,1.10%,2.50%,10.4%,9.20%,10.40%,1.9%,0.80%,1.90%,,,,1.3%,,1.50%,10.4%,,11.20%,2.1%,,2.90%,2.90%,,2.90%,15.40%,,15.70%,-0.40%,0.10%,-0.2%,,,,1.90%,,1.90%,9.00%,8.80%,9.00%,5.60%,5.00%,5.60%,1.10%,0.50%,1.10%,7.1%,,7.40%,0.7%,,1.00%
8/2021,8.3%,8.2%,8.3%,0.7%,0.6%,0.70%,6.70%,6.60%,6.70%,0.60%,0.50%,0.60%,8.3%,8.20%,8.30%,1.10%,1.30%,2.50%,13.40%,13.50%,16.10%,1.10%,1.30%,1.10%,12.0%,11.40%,12.00%,1.5%,0.80%,1.50%,,,,1.0%,,1.00%,11.6%,,11.60%,0.5%,,0.50%,2.90%,,2.90%,14.30%,,14.30%,-0.30%,0.10%,-0.3%,,,,1.90%,,1.90%,9.50%,9.00%,9.50%,5.50%,5.60%,5.80%,0.00%,0.20%,0.10%,7.3%,,7.40%,0.4%,,0.50%
9/2021,8.6%,8.7%,8.6%,0.5%,0.6%,0.50%,6.80%,7.10%,6.80%,0.20%,0.50%,0.20%,8.6%,8.70%,8.60%,2.70%,2.20%,1.10%,16.00%,15.20%,21.90%,2.70%,2.20%,2.80%,14.2%,12.70%,14.20%,2.3%,1.00%,2.30%,,,,1.7%,,1.70%,13.3%,,13.30%,1.6%,,1.60%,2.90%,,2.90%,14.90%,,14.90%,1.00%,,1.0%,,,,0.40%,,0.40%,10.70%,10.50%,10.70%,6.30%,5.90%,6.30%,0.30%,0.30%,0.30%,7.5%,,7.60%,0.2%,,0.40%
10/2021,8.6%,8.7%,8.8%,0.6%,0.6%,0.60%,6.80%,6.80%,7.00%,0.40%,0.50%,0.40%,8.6%,8.70%,8.80%,5.40%,3.50%,2.80%,21.90%,19.00%,23.70%,5.40%,3.50%,5.40%,18.4%,16.20%,18.40%,3.8%,1.90%,3.80%,,,,2.9%,,2.90%,20.4%,,20.40%,7.1%,,7.10%,3.70%,,3.70%,16.70%,,16.70%,1.30%,,1.6%,,,,2.20%,,2.20%,13.50%,12.40%,13.50%,8.00%,7.00%,8.30%,1.20%,0.40%,1.40%,8.9%,,9.10%,0.8%,,1.00%
11/2021,9.6%,9.2%,9.8%,0.8%,0.5%,1.00%,7.70%,7.20%,7.90%,0.70%,0.40%,0.90%,9.6%,9.20%,9.80%,1.80%,1.20%,5.40%,23.70%,22.90%,26.30%,1.80%,1.20%,1.80%,19.2%,19.90%,19.20%,0.8%,1.40%,0.80%,,,,3.5%,,3.90%,22.1%,,22.20%,1.2%,,1.20%,3.70%,,3.70%,18.10%,,17.10%,0.80%,0.80%,0.1%,,,,1.30%,,1.50%,12.90%,12.40%,12.90%,9.00%,8.50%,9.20%,0.60%,0.30%,0.70%,9.6%,,9.80%,0.5%,,0.70%
12/2021,9.7%,9.8%,9.8%,0.2%,0.4%,0.40%,8.30%,8.00%,8.50%,0.50%,0.50%,0.60%,9.7%,9.80%,9.80%,2.90%,2.80%,1.80%,26.20%,26.10%,30.60%,2.90%,2.80%,3.00%,24.2%,19.40%,24.20%,5.0%,0.80%,5.00%,,,,1.0%,,1.30%,22.6%,,22.80%,0.8%,,1.10%,3.70%,,3.70%,16.10%,,15.90%,0.70%,0.80%,0.5%,,,,-0.10%,,-0.10%,10.30%,11.10%,10.30%,8.50%,8.80%,8.70%,-0.20%,0.30%,-0.20%,9.0%,,9.00%,0.0%,,
1/2022,9.7%,9.1%,10.0%,1.0%,0.5%,1.20%,8.30%,7.90%,8.50%,0.80%,0.50%,1.00%,9.7%,9.10%,10.00%,5.20%,2.30%,3.00%,30.60%,26.90%,31.50%,5.20%,2.30%,5.10%,25.0%,24.20%,25.00%,2.2%,1.50%,2.20%,,,,4.6%,,4.70%,32.9%,,32.90%,9.7%,,9.70%,4.90%,,4.90%,16.90%,,16.30%,3.00%,0.90%,2.5%,,,,1.20%,,1.20%,9.10%,9.50%,9.10%,8.60%,8.20%,8.90%,0.60%,0.40%,0.80%,8.7%,,8.90%,0.9%,,1.10%
2/2022,10.0%,10.0%,10.3%,0.8%,0.9%,0.90%,8.40%,8.70%,8.70%,0.20%,0.60%,0.40%,10.0%,10.00%,10.30%,1.10%,1.30%,5.10%,31.40%,31.50%,36.90%,1.10%,1.30%,1.10%,25.9%,26.20%,25.90%,1.4%,1.70%,1.40%,,,,1.1%,,0.90%,32.8%,,32.70%,0.4%,,0.40%,4.90%,,4.90%,16.40%,,15.80%,3.10%,,2.6%,,,,0.60%,,0.50%,8.80%,8.70%,8.80%,9.30%,8.70%,9.70%,0.80%,0.60%,0.90%,8.4%,,8.50%,0.4%,,0.50%
3/2022,11.2%,10.6%,11.5%,1.4%,1.1%,1.60%,9.20%,8.40%,9.60%,1.00%,0.50%,1.20%,11.2%,10.60%,11.50%,5.30%,5.00%,1.10%,36.80%,36.30%,37.20%,5.30%,5.00%,5.30%,30.9%,28.20%,30.90%,4.9%,2.60%,4.90%,,,,4.3%,,4.50%,36.9%,,36.90%,4.0%,,4.00%,4.90%,,4.90%,18.50%,,17.90%,4.00%,,3.4%,,,,3.10%,,3.10%,8.30%,7.90%,8.30%,9.50%,9.30%,9.70%,0.80%,0.90%,0.90%,8.8%,,9.00%,1.3%,,1.50%
4/2022,11.0%,10.7%,10.9%,0.5%,0.5%,0.40%,8.80%,8.90%,8.60%,0.40%,0.60%,0.20%,11.0%,10.70%,10.90%,1.20%,2.30%,5.30%,37.20%,38.50%,36.20%,1.20%,2.30%,1.20%,33.5%,31.50%,33.50%,2.8%,1.40%,2.80%,,,,0.0%,,,35.3%,,35.30%,0.2%,,0.20%,5.60%,,5.60%,16.40%,,16.40%,0.80%,0.50%,0.8%,,,,1.90%,,2.10%,8.00%,7.70%,8.00%,10.00%,9.40%,9.80%,1.20%,0.80%,1.30%,9.2%,,9.70%,1.1%,,1.60%
5/2022,10.8%,10.9%,10.9%,0.8%,0.8%,0.90%,8.30%,8.60%,8.50%,0.50%,0.60%,0.60%,10.8%,10.90%,10.90%,0.70%,1.00%,1.20%,36.30%,36.70%,36.00%,0.70%,1.00%,0.50%,33.6%,33.50%,33.60%,1.6%,1.50%,1.60%,,,,-0.1%,,-0.30%,34.6%,,34.60%,0.6%,,0.60%,5.60%,,5.60%,15.00%,,15.70%,1.70%,0.50%,1.8%,,,,1.80%,,1.80%,6.40%,6.40%,6.40%,9.10%,9.80%,9.30%,0.00%,0.50%,0.10%,9.7%,,9.90%,0.5%,,0.70%
6/2022,11.3%,10.7%,11.3%,1.1%,0.8%,1.00%,8.20%,8.10%,8.40%,0.40%,0.50%,0.40%,11.3%,10.70%,11.30%,1.10%,1.00%,0.50%,35.80%,35.70%,38.00%,1.10%,1.00%,1.30%,32.7%,33.90%,32.70%,0.6%,1.30%,0.60%,,,,1.3%,,1.30%,34.1%,,34.10%,1.0%,,1.00%,5.60%,,5.60%,14.30%,,14.30%,-1.10%,,-0.8%,,,,1.00%,,1.00%,6.10%,6.00%,6.10%,9.20%,8.80%,9.40%,0.70%,0.50%,0.90%,9.9%,,10.00%,0.5%,,0.60%
7/2022,9.8%,10.4%,9.8%,-0.5%,0.2%,-0.40%,7.60%,7.60%,7.70%,0.20%,0.40%,0.30%,9.8%,10.40%,9.80%,4.00%,2.50%,1.30%,37.90%,35.80%,43.40%,4.00%,2.50%,4.00%,37.2%,32.00%,37.20%,5.3%,0.60%,5.30%,,,,1.6%,,1.90%,36.9%,,36.90%,5.0%,,5.00%,6.40%,,6.40%,11.90%,,11.50%,-2.10%,,-2.5%,,,,1.20%,,1.10%,4.20%,4.80%,4.20%,8.60%,8.40%,9.00%,0.40%,0.40%,0.70%,9.2%,,9.20%,0.3%,,0.30%
8/2022,8.7%,8.8%,8.7%,-0.1%,-0.1%,-0.20%,7.30%,7.10%,7.20%,0.40%,0.30%,0.30%,8.7%,8.80%,8.70%,5.00%,4.90%,4.00%,43.30%,43.10%,41.90%,5.00%,4.90%,5.00%,45.8%,37.10%,45.80%,7.9%,1.60%,7.90%,,,,2.7%,,2.80%,40.1%,,40.10%,2.8%,,2.80%,6.40%,,6.40%,10.60%,,10.20%,-1.20%,0.20%,-1.6%,,,,-3.10%,,-3.00%,2.30%,3.10%,2.30%,9.00%,8.90%,9.40%,0.20%,0.40%,0.40%,8.4%,,8.20%,-0.3%,,-0.40%
9/2022,8.5%,8.4%,8.4%,0.4%,0.2%,0.20%,7.20%,7.30%,7.10%,0.30%,0.30%,0.20%,8.5%,8.40%,8.40%,1.60%,1.70%,5.00%,41.90%,42.00%,30.50%,1.60%,1.70%,1.60%,45.8%,44.70%,45.80%,2.3%,1.30%,2.30%,,,,1.0%,,1.00%,41.8%,,41.70%,2.8%,,2.70%,6.40%,,6.40%,9.00%,,9.10%,0.10%,-0.90%,0.1%,,,,-2.00%,,-1.90%,0.90%,1.00%,0.90%,9.70%,8.80%,10.20%,0.70%,0.20%,1.00%,8.0%,,7.90%,0.2%,,0.20%
10/2022,8.0%,8.3%,8.1%,0.2%,0.4%,0.30%,6.70%,7.20%,6.80%,0.00%,0.30%,0.10%,8.0%,8.30%,8.10%,-2.90%,-2.00%,1.60%,30.80%,31.50%,27.00%,-2.90%,-2.00%,-3.00%,34.5%,41.50%,34.50%,-4.2%,0.90%,-4.20%,,,,-0.1%,,-0.20%,28.0%,,27.70%,-3.3%,,-3.50%,5.80%,6.30%,5.80%,10.10%,,10.10%,2.40%,0.40%,2.4%,,,,-0.90%,,-0.90%,-1.30%,-1.50%,-1.30%,9.10%,8.80%,9.10%,0.60%,0.60%,0.60%,7.3%,,7.30%,0.5%,,0.50%
11/2022,7.4%,7.2%,7.3%,0.3%,0.2%,0.20%,6.20%,5.90%,6.20%,0.40%,0.20%,0.20%,7.4%,7.20%,7.30%,-0.90%,-0.90%,-3.00%,27.10%,27.50%,24.60%,-0.90%,-0.90%,-1.00%,28.2%,30.60%,28.20%,-3.9%,-2.50%,-3.90%,,,,1.2%,,1.20%,29.4%,,29.40%,2.6%,,2.60%,5.80%,6.30%,5.80%,9.70%,,9.40%,-0.40%,0.40%,-0.5%,,,,-0.50%,,-0.50%,-1.30%,-1.40%,-1.30%,9.30%,8.90%,9.70%,0.60%,0.50%,0.80%,6.3%,,6.20%,-0.2%,,-0.30%
12/2022,6.2%,6.8%,6.5%,-0.5%,-0.1%,-0.20%,5.50%,5.70%,5.80%,0.10%,0.10%,0.30%,6.2%,6.80%,6.50%,1.10%,-0.40%,-1.00%,24.60%,22.50%,15.10%,1.10%,-0.40%,1.10%,21.6%,20.80%,21.60%,-0.4%,-1.20%,-0.40%,,,,1.4%,0.00%,1.20%,31.7%,,31.70%,2.9%,,2.90%,5.80%,6.30%,5.80%,7.60%,,7.70%,-1.10%,-0.30%,-0.9%,,,,-1.30%,,-1.30%,-0.70%,-0.10%,-0.70%,10.20%,9.50%,10.50%,0.50%,0.30%,0.70%,6.0%,,5.80%,-0.3%,,-0.40%
1/2023,6.0%,5.4%,5.7%,0.7%,0.4%,0.30%,5.40%,4.90%,5.00%,0.50%,0.30%,0.10%,6.0%,5.40%,5.70%,-2.80%,-0.30%,1.10%,15.00%,17.70%,13.30%,-2.80%,-0.30%,-2.80%,17.8%,16.40%,17.60%,-1.0%,-1.60%,-1.20%,,,,2.7%,,2.50%,11.1%,,31.70%,-7.5%,,-7.50%,5.20%,5.00%,4.90%,5.40%,,5.00%,0.40%,-0.10%,0.3%,,,,0.30%,,0.30%,-0.80%,-0.50%,-0.80%,9.50%,9.60%,9.50%,0.00%,0.30%,0.70%,5.1%,,5.10%,0.4%,,0.40%
2/2023,4.6%,5.4%,4.9%,-0.1%,0.3%,0.00%,4.40%,5.20%,4.80%,0.00%,0.40%,0.20%,4.6%,5.40%,4.90%,-0.50%,-0.30%,-2.80%,13.20%,13.30%,5.50%,-0.50%,-0.30%,-0.40%,15.8%,14.50%,15.80%,-0.3%,-0.50%,-0.30%,,,,-0.9%,,-0.90%,9.6%,,9.60%,-1.0%,,-1.00%,5.20%,5.00%,4.90%,1.40%,,1.60%,-0.80%,-0.10%,-0.6%,,,,-0.30%,,-0.30%,-1.40%,-1.30%,-1.40%,8.20%,8.40%,8.30%,-0.40%,-0.30%,-0.30%,4.8%,,4.80%,0.1%,,0.20%
3/2023,2.7%,3.0%,2.7%,-0.5%,0.1%,-0.40%,3.40%,3.40%,3.40%,-0.10%,0.30%,0.00%,2.7%,3.00%,2.70%,-1.60%,-1.70%,-0.40%,5.90%,5.90%,0.90%,-1.60%,-1.70%,-1.30%,7.5%,9.80%,6.70%,-2.6%,-0.50%,-1.40%,,,,2.0%,-0.30%,1.90%,3.8%,1.80%,3.70%,-1.5%,-4.60%,-1.50%,5.20%,5.00%,4.90%,-1.80%,-2.10%,-2.20%,0.10%,1.60%,-0.1%,,,1.80%,-0.70%,-0.20%,-0.70%,-2.50%,-2.50%,-2.50%,7.20%,7.10%,7.40%,0.00%,-0.30%,0.10%,3.3%,4.50%,3.30%,0.1%,-0.10%,0.10%
4/2023,2.3%,2.4%,2.3%,0.2%,0.3%,0.20%,3.20%,3.30%,3.10%,0.20%,0.20%,0.20%,2.3%,2.40%,2.30%,-3.20%,-3.10%,-1.30%,1.00%,1.40%,-1.60%,-3.20%,-3.10%,-3.20%,4.1%,4.00%,4.10%,0.3%,-0.50%,0.30%,,,,-5.1%,1.20%,-5.20%,-1.5%,-4.00%,-1.50%,-4.8%,0.50%,-4.80%,3.90%,3.90%,3.90%,-3.50%,-5.60%,-3.80%,-0.20%,0.20%,-0.6%,1.40%,,1.40%,-0.40%,-0.50%,-0.40%,-3.60%,-3.20%,-3.60%,5.80%,7.10%,5.90%,0.20%,,0.30%,1.6%,2.30%,1.60%,-0.1%,0.30%,-0.10%
5/2023,1.1%,1.5%,0.9%,-0.3%,-0.1%,-0.40%,2.80%,2.90%,2.60%,0.20%,0.20%,0.10%,1.1%,1.50%,0.90%,-1.90%,-1.80%,-3.20%,-1.50%,-1.30%,-3.40%,-1.90%,-1.80%,-1.90%,1.0%,1.70%,1.00%,-1.4%,-0.70%,-1.40%,,,5.60%,-1.4%,-2.30%,-1.50%,-4.3%,-9.40%,-4.30%,-2.3%,-6.20%,-2.30%,3.90%,3.90%,3.90%,-6.30%,-5.80%,-5.70%,-1.00%,1.40%,-0.6%,0.10%,,0.10%,-3.10%,-0.50%,-2.90%,-4.60%,-4.30%,-4.60%,5.10%,5.50%,5.20%,-0.70%,-0.20%,-0.70%,0.6%,0.50%,3.30%,-0.3%,-0.20%,0.10%
6/2023,0.1%,0.4%,0.2%,0.1%,0.2%,0.00%,2.40%,2.60%,2.40%,0.10%,0.20%,-0.10%,0.1%,0.40%,0.20%,-0.40%,-0.20%,-1.90%,-3.40%,-3.10%,-7.60%,-0.40%,-0.20%,-0.40%,0.1%,0.00%,0.10%,-0.3%,-0.40%,-0.30%,3.0%,,3.10%,-1.1%,-2.80%,-1.10%,-5.5%,-12.90%,-5.50%,-0.3%,-6.30%,-0.30%,3.90%,3.90%,3.90%,-5.50%,-8.30%,-5.50%,-0.60%,-0.20%,-0.6%,-0.90%,,-0.90%,-2.70%,-1.80%,-2.70%,-5.40%,-5.00%,-5.40%,4.10%,4.30%,4.30%,-0.20%,0.10%,-0.10%,-0.2%,0.10%,-0.30%,-0.2%,-0.30%,-0.20%
7/2023,0.8%,0.7%,0.8%,0.3%,0.2%,0.40%,2.40%,2.30%,2.40%,0.30%,0.20%,0.40%,0.8%,0.70%,0.80%,-0.50%,-0.60%,-0.40%,-7.60%,-7.60%,-11.50%,-0.50%,-0.60%,-0.50%,-6.0%,-5.10%,-6.00%,-1.1%,-0.20%,-1.10%,0.9%,,0.90%,-0.2%,-3.30%,-0.30%,-10.2%,,-10.20%,-0.1%,,-0.10%,3.80%,,3.80%,-2.70%,-6.30%,-3.20%,0.40%,-2.30%,-0.1%,-0.80%,,-0.70%,-0.80%,-3.00%,-0.80%,-4.40%,-4.10%,-4.40%,3.60%,3.50%,3.40%,0.10%,0.20%,0.10%,-0.2%,-0.40%,-0.30%,0.3%,0.00%,0.30%
8/2023,1.6%,1.2%,2.0%,0.7%,0.4%,0.70%,2.20%,2.20%,2.50%,0.20%,0.20%,0.20%,1.6%,1.20%,2.00%,0.60%,0.60%,-0.50%,-11.50%,-11.60%,-12.40%,0.60%,0.60%,0.70%,-12.6%,-12.60%,-12.60%,0.3%,0.20%,0.30%,-1.3%,,-1.40%,0.6%,,0.70%,-12.2%,,-12.20%,0.5%,,0.50%,3.80%,,3.80%,-0.50%,,0.00%,1.30%,0.50%,1.9%,0.10%,,0.10%,0.90%,,0.80%,-3.00%,-3.00%,-3.00%,3.20%,3.20%,3.30%,0.30%,0.10%,0.30%,1.0%,,1.00%,0.9%,,0.90%
9/2023,2.2%,1.6%,2.2%,0.5%,0.3%,0.40%,2.70%,2.30%,2.70%,0.30%,0.20%,0.20%,2.2%,1.60%,2.20%,0.50%,0.50%,0.70%,-12.40%,-12.50%,-9.40%,0.50%,0.50%,0.50%,-14.7%,-14.20%,-14.70%,-0.2%,0.40%,-0.20%,-1.7%,,-1.50%,0.7%,,0.70%,-14.1%,,-14.10%,0.6%,0.30%,0.60%,3.80%,,3.80%,0.60%,,0.60%,0.40%,0.30%,0.4%,0.70%,,0.60%,1.10%,,1.10%,-2.50%,-2.40%,-2.50%,2.00%,2.30%,2.20%,-0.30%,0.10%,-0.20%,1.3%,,1.40%,0.4%,,0.50%
10/2023,1.3%,1.9%,1.2%,-0.5%,0.1%,-0.40%,2.40%,2.70%,2.30%,0.00%,0.30%,0.00%,1.3%,1.90%,1.20%,0.20%,0.20%,0.50%,-9.40%,-9.50%,-8.80%,0.20%,0.20%,0.30%,-11.0%,-11.00%,-11.00%,-0.1%,-0.10%,-0.10%,-1.2%,,-1.40%,0.0%,,-0.10%,-9.5%,,-9.50%,1.5%,,1.50%,4.10%,,4.10%,-2.70%,,-2.60%,-1.00%,0.20%,-0.9%,1.30%,,1.40%,1.10%,,1.10%,-2.60%,-2.70%,-2.60%,0.80%,0.90%,0.90%,-0.40%,0.00%,-0.30%,0.8%,,0.80%,-0.1%,,-0.10%
11/2023,0.9%,1.0%,0.8%,0.0%,0.1%,-0.10%,2.00%,2.20%,2.00%,0.00%,0.20%,0.00%,0.9%,1.00%,0.80%,-0.30%,-0.10%,0.30%,-8.80%,-8.70%,-10.70%,-0.30%,-0.10%,-0.30%,-7.9%,-7.50%,-7.90%,-0.5%,-0.20%,-0.50%,0.3%,,0.30%,2.4%,,2.30%,-12.6%,,-12.80%,-0.9%,,-1.10%,4.10%,,4.10%,-2.30%,,-2.00%,-0.40%,-0.80%,-0.3%,1.20%,,1.30%,-0.40%,,-0.30%,-3.00%,-2.80%,-3.00%,0.30%,0.10%,0.30%,0.20%,0.20%,0.30%,0.6%,,0.60%,-0.4%,,-0.40%
12/2023,1.0%,1.3%,1.0%,-0.1%,0.1%,-0.10%,1.80%,1.90%,1.70%,0.00%,0.20%,-0.10%,1.0%,1.30%,1.00%,-0.80%,-0.80%,-0.30%,-10.60%,-10.50%,-8.00%,-0.80%,-0.80%,-0.90%,-8.6%,-8.00%,-5.10%,-1.2%,-0.50%,-0.80%,-0.9%,,-1.30%,0.1%,,-0.10%,-16.0%,,-16.00%,-0.9%,,-1.00%,4.10%,,4.10%,-2.70%,,-2.80%,-1.50%,-0.70%,-1.6%,1.00%,,1.00%,-0.20%,,-0.20%,-2.70%,-2.60%,-2.70%,0.00%,-0.30%,0.20%,0.30%,0.00%,0.30%,1.2%,,1.20%,0.1%,,0.10%
1/2024,0.9%,0.6%,1.0%,0.3%,0.1%,0.30%,2.00%,1.60%,2.00%,0.50%,0.10%,0.50%,0.9%,0.60%,1.00%,-0.90%,-0.10%,-0.90%,-8.60%,-8.10%,-8.50%,-0.90%,-0.10%,-0.90%,-4.4%,-6.60%,-4.40%,0.2%,0.10%,0.20%,-5.1%,,-4.90%,-1.3%,,-1.00%,-14.0%,,-10.70%,-2.5%,,-1.70%,4.30%,,4.30%,-2.90%,,-2.90%,-0.10%,-0.10%,-0.1%,1.00%,,0.90%,-0.30%,,-0.20%,-2.50%,-2.60%,-2.50%,0.20%,0.10%,0.20%,0.00%,0.10%,0.00%,1.3%,,1.30%,0.5%,,0.50%
2/2024,1.6%,1.1%,1.6%,0.6%,0.3%,0.60%,2.00%,1.90%,2.10%,0.30%,0.20%,0.30%,1.6%,1.10%,1.60%,,,-0.90%,-8.30%,-8.60%,-8.50%,-1.00%,-0.60%,-1.10%,-4.1%,-3.80%,-4.10%,-0.4%,-0.10%,-0.40%,-5.5%,,-5.50%,-1.7%,,-1.70%,-10.8%,,-10.80%,-1.0%,,-1.00%,4.30%,,4.30%,-1.70%,,-0.40%,0.70%,0.00%,1.1%,1.40%,,1.40%,0.10%,,0.10%,-2.70%,-2.50%,-2.70%,0.60%,0.60%,0.70%,0.20%,0.10%,0.20%,1.5%,,1.50%,0.3%,,0.30%
3/2024,2.1%,2.2%,1.8%,0.2%,0.3%,-0.10%,2.40%,2.30%,2.10%,0.20%,0.20%,-0.10%,2.1%,2.20%,1.80%,,,,-7.80%,,-7.80%,-0.40%,-0.40%,-0.50%,-2.9%,,-2.90%,0.2%,0.00%,0.20%,-7.5%,,-8.30%,-0.2%,,-1.00%,-9.6%,,-9.60%,-0.2%,,-0.20%,4.30%,,4.30%,-0.50%,,-0.40%,0.80%,0.80%,0.9%,2.00%,,2.00%,0.40%,,0.40%,-2.80%,-2.80%,-2.80%,0.80%,0.80%,0.90%,0.20%,0.30%,0.20%,1.6%,,1.50%,0.2%,,0.20%
