Time,US PPI YoY,US PPI YoY F,US PPI YoY P,US PPI MoM,US PPI MoM F,US PPI MoM P,US PPI Core YoY,US PPI Core F YoY,US PPI Core P YoY,US PPI Core MoM,US PPI Core MoM F,US PPI Core MoM P,UK PPI YoY,UK PPI YoY F,UK PPI P,Column 1,2,3,EU PPI YoY,EU PPI YoY F,EU PPI YoY P,EU PPI MoM,EU PPI MoM F,EU PPI MoM P,GER PPI YoY,GER PPI YoY F,GER PPI YoY P,GER PPI MoM,GER PPI MoM F,GER PPI MoM P,FRANCE PPI YoY,FRANCE PPI YoY F,FRANCE PPI YoY P,FRANCE PPI MoM,FRANCE PPI MoM F,FRANCE PPI MoM P,ITALY PPI YoY,ITALY PPI YoY F,ITALY PPI YoY P,ITALY PPI MoM,ITALY PPI MoM F,ITALY PPI MoM P,AU PPI YoY,AU PPI YoY F,AU PPI YoY P,CANADA PPI YoY,CANADA PPI YoY F,CANADA PPI YoY P,CANADA PPI MoM,CANADA PPI MoM F,CANADA PPI MoM P,MEXICO PPI YoY,MEXICO PPI YoY F,MEXICO PPI YoY P,BRAZIL PPI MoM,BRAZIL PPI MoM F,BRAZIL PPI MoM P,China PPI YoY,China PPI YoY F,China PPI YoY P,JAPAN PPI YoY,JAPAN PPI YoY F,JAPAN PPI YoY P,JAPAN PPI MoM,JAPAN PPI MoM F,JAPAN PPI MoM P,KOREA PPI YoY,KOREA PPI YoY F,KOREA PPI YoY P,KOREA PPI MoM,KOREA PPI MoM F,KOREA PPI MoM P
10/2016,0.8%,1.2%,0.8%,0.0%,0.3%,0.00%,1.20%,1.50%,1.20%,-0.20%,0.20%,-0.20%,0.8%,1.20%,0.80%,0.80%,0.20%,0.10%,-0.40%,-1.00%,0.10%,0.80%,0.20%,0.80%,-0.4%,-0.90%,-0.40%,0.7%,0.10%,0.70%,,,,0.8%,,0.80%,-0.6%,,-0.60%,-0.1%,,-0.10%,0.70%,,0.70%,0.80%,,0.80%,0.70%,0.60%,0.7%,,,,,,,1.20%,0.80%,1.20%,-2.70%,-2.70%,-2.70%,-0.10%,-0.10%,-0.10%,-0.2%,,-0.10%,0.2%,,0.30%
11/2016,1.3%,0.9%,1.3%,0.4%,0.1%,0.40%,1.60%,1.30%,1.60%,0.40%,0.20%,0.40%,1.3%,0.90%,1.30%,0.30%,0.10%,0.80%,0.10%,-0.10%,1.60%,0.30%,0.10%,0.30%,0.1%,-0.20%,0.10%,0.3%,0.10%,0.30%,,,,0.8%,,0.80%,-0.3%,,-0.30%,-0.1%,,-0.10%,0.70%,,0.70%,1.40%,,1.50%,0.30%,0.20%,0.4%,,,,,,,3.30%,2.20%,3.30%,-2.20%,-2.30%,-2.20%,0.40%,0.30%,0.40%,0.7%,,0.70%,0.4%,,0.40%
12/2016,1.6%,1.6%,1.6%,0.3%,0.3%,0.30%,1.60%,1.50%,1.60%,0.20%,0.10%,0.20%,1.6%,1.60%,1.60%,0.70%,0.40%,0.30%,1.60%,1.30%,3.90%,0.70%,0.40%,0.80%,1.0%,1.00%,1.00%,0.4%,0.40%,0.40%,,,,0.9%,,0.90%,0.9%,,0.80%,0.6%,,0.50%,0.70%,,0.70%,2.20%,,2.30%,0.40%,0.60%,0.3%,,,,,,,5.50%,4.50%,5.50%,-1.20%,-1.50%,-1.20%,0.60%,0.30%,0.60%,1.8%,,1.80%,0.8%,,0.90%
1/2017,1.6%,1.5%,1.6%,0.6%,0.3%,0.60%,1.20%,1.10%,1.20%,0.40%,0.20%,0.40%,1.6%,1.50%,1.60%,0.70%,0.60%,0.80%,3.50%,3.20%,4.50%,0.70%,0.60%,1.10%,2.4%,2.00%,2.40%,0.7%,0.30%,0.70%,,,,0.7%,,0.70%,2.5%,,2.50%,1.0%,,1.00%,1.30%,,1.30%,2.30%,,2.50%,0.40%,0.50%,0.6%,,,,,,,6.90%,6.30%,6.90%,0.50%,0.00%,0.50%,0.60%,0.20%,0.60%,3.7%,,3.90%,1.3%,,1.40%
2/2017,2.2%,2.0%,2.2%,0.3%,0.1%,0.30%,1.50%,1.50%,1.50%,0.30%,0.20%,0.30%,2.2%,2.00%,2.20%,0.00%,0.30%,1.10%,4.50%,4.30%,3.90%,0.00%,0.30%,0.00%,3.1%,3.20%,3.10%,0.2%,0.30%,0.20%,,,,-0.2%,,-0.20%,3.3%,,3.30%,0.3%,,0.30%,1.30%,,1.30%,3.50%,,3.60%,0.10%,0.30%,0.3%,,,,,,,7.80%,7.70%,7.80%,1.00%,1.00%,1.00%,0.20%,-0.10%,0.60%,4.2%,,4.30%,0.3%,,0.40%
3/2017,2.3%,2.4%,2.3%,-0.1%,0.0%,-0.10%,1.60%,1.80%,1.60%,0.00%,0.20%,0.00%,2.3%,2.40%,2.30%,-0.30%,-0.10%,0.00%,3.90%,4.10%,4.30%,-0.30%,-0.10%,-0.30%,3.1%,3.20%,3.10%,0.0%,0.10%,0.00%,,,,-0.5%,,-0.50%,3.1%,,3.00%,0.0%,,-0.10%,1.30%,,1.30%,5.10%,,5.10%,0.80%,,0.8%,,,,,,,7.60%,7.60%,7.60%,1.40%,1.30%,1.40%,0.20%,0.20%,0.20%,4.2%,,4.30%,-0.1%,,-0.10%
4/2017,2.5%,2.2%,2.5%,0.5%,0.2%,0.50%,1.90%,1.70%,1.90%,0.40%,0.20%,0.40%,2.5%,2.20%,2.50%,0.00%,0.30%,-0.30%,4.30%,4.50%,3.40%,0.00%,0.30%,0.00%,3.4%,3.20%,3.40%,0.4%,0.20%,0.40%,,,,-0.4%,,-0.40%,3.7%,,3.70%,0.1%,,0.10%,1.70%,,1.70%,6.30%,,6.30%,0.60%,,0.6%,,,,,,,6.40%,6.90%,6.40%,2.10%,1.80%,2.10%,0.20%,-0.10%,0.20%,4.0%,,3.80%,-0.1%,,-0.20%
5/2017,2.4%,2.3%,2.4%,0.0%,0.1%,0.00%,2.10%,2.00%,2.10%,0.30%,0.20%,0.30%,2.4%,2.30%,2.40%,-0.40%,-0.20%,0.00%,3.30%,3.50%,2.40%,-0.40%,-0.20%,-0.30%,2.8%,2.90%,2.80%,-0.2%,-0.10%,-0.20%,,,,-0.6%,,-0.60%,2.8%,,2.80%,-0.3%,,-0.30%,1.70%,,1.70%,4.90%,,5.20%,-0.20%,0.30%,0.1%,,,,,,,5.50%,5.70%,5.50%,2.10%,2.20%,2.10%,0.00%,0.10%,0.00%,3.5%,,3.40%,-0.2%,,-0.30%
6/2017,2.0%,1.9%,2.0%,0.1%,-0.1%,0.10%,1.90%,2.00%,1.90%,0.10%,0.20%,0.10%,2.0%,1.90%,2.00%,-0.10%,-0.10%,-0.30%,2.50%,2.40%,2.00%,-0.10%,-0.10%,-0.20%,2.4%,2.30%,2.40%,0.0%,-0.10%,0.00%,,,,-0.4%,,-0.40%,3.1%,,3.10%,0.4%,,0.40%,1.70%,,1.70%,3.30%,,3.10%,-1.00%,-0.30%,-1.1%,,,,,,,5.50%,5.50%,5.50%,2.10%,2.10%,2.10%,0.00%,0.00%,0.00%,2.8%,,2.80%,-0.4%,,-0.40%
7/2017,1.9%,2.2%,1.9%,-0.1%,0.1%,-0.10%,1.80%,2.10%,1.80%,-0.10%,0.20%,-0.10%,1.9%,2.20%,1.90%,0.00%,0.10%,-0.20%,2.00%,2.20%,2.50%,0.00%,0.10%,0.00%,2.3%,2.20%,2.30%,0.2%,0.10%,0.20%,,,,0.1%,,0.10%,1.0%,,1.00%,0.0%,,0.00%,1.60%,,1.60%,1.30%,,1.30%,-1.50%,-0.20%,-1.6%,,,,,,,5.50%,5.50%,5.50%,2.60%,2.40%,2.60%,0.30%,0.20%,0.30%,3.0%,,3.00%,0.1%,,0.10%
